id,sku,primary_barcode,brand_name,generic_name,strength,form,form_custom,manufacturer,therapeutic_category,purchase_unit,base_unit,units_per_purchase,prescription_required,controlled_schedule,tax_code_value,reorder_level,reorder_quantity,reorder_unit,is_active,created_at,updated_at,deleted_at
157,TRI551601-TAB,08961101690717,Triforge 5mg/160mg/12.5mg,Amlodipine + Valsartan + Hydrochlorothiazide,5mg/160mg/12.5mg,TABLET,,Highnoon Laboratories Ltd,,BOX,TABLET,28,f,NONE,EXEMPT,56,0,PURCHASE,t,2026-05-23 10:00:57.978845+00,2026-05-23 10:00:57.978845+00,
192,TRYP-TAB,08961101580544,Tryptanol,Amitriptyline HCl,,TABLET,,Searle Pakistan,,BOX,TABLET,100,f,NONE,EXEMPT,100,0,PURCHASE,t,2026-05-23 11:11:48.971187+00,2026-06-01 18:44:15.944493+00,
286,ULS11-TAB,08961101690540,Ulsanic 1g,Sucralfate 1g,1g,TABLET,,Highnoon Laboratories Ltd,,BOX,TABLET,10,f,NONE,EXEMPT,10,0,PURCHASE,t,2026-05-31 10:51:42.113049+00,2026-05-31 10:51:42.113049+00,
358,VASE-GEL,,Vaseline,Petroleum Jelly BP,,GEL,,,,BOX,BOTTLE,1,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-06-01 14:02:29.757446+00,2026-06-01 14:02:29.757446+00,
356,VEC66-TAB,,Vectine 6mg,Ivermectin,6mg,TABLET,,Xenon Pharmaceuticals (Pvt.) Ltd.,,BOX,TABLET,10,f,NONE,EXEMPT,5,0,PURCHASE,t,2026-06-01 13:43:23.492101+00,2026-06-01 13:43:23.492101+00,
241,VEL5500-CAP,08964001589211,Velosef 500mg,Cephradine 500mg,500mg,CAPSULE,,GlaxoSmithKline Pakistan Limited,,BOX,CAPSULE,12,f,NONE,EXEMPT,24,0,PURCHASE,t,2026-05-31 09:40:00.209936+00,2026-06-01 20:30:40.169242+00,
234,VIBE100-CAP,08964001691259,Vibecin,Doxycycline 100mg,100mg,CAPSULE,,Magns pharmaceuticals,,BOX,CAPSULE,100,f,NONE,EXEMPT,100,0,PURCHASE,t,2026-05-31 09:33:32.104789+00,2026-05-31 09:33:32.104789+00,
232,VIDL-SYR,08002660023285,Vidaylin L,Multivitamin + Lipotropic + Lysine Syrup,,SYRUP,,Abbott Laboratories (Pakistan) Ltd,,BOX,BOTTLE,1,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-05-31 09:30:17.824876+00,2026-05-31 09:30:17.824876+00,
100,VOLE-GEL,08964001549147,Voltral Emulgel 2% 20g,Diclofenac Diethylamine,,GEL,,Haleon Pakistan Limited,,BOX,TUBE,1,f,NONE,EXEMPT,1,0,PURCHASE,t,2026-05-22 14:04:43.373533+00,2026-05-22 14:04:43.373533+00,
281,VOL550-TAB,08964002142064,Volviron 50mg,Diclofenac Sodium 50mg,50mg,TABLET,,Briell Pharamaceuticals Pvt. Ltd.,,BOX,TABLET,20,f,NONE,EXEMPT,15,0,PURCHASE,t,2026-05-31 10:45:09.422975+00,2026-05-31 10:45:09.422975+00,
280,VOLS100-TAB,08964002142071,Volviron-SR  100mg,Diclofenac Sodium 100mg,100mg,TABLET,,Briell Pharamaceuticals Pvt. Ltd.,,BOX,TABLET,30,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-31 10:44:26.028188+00,2026-05-31 10:44:26.028188+00,
117,VONC-CAP,00001949702818,Vonita Capsules,Multivitamin + Selenium + Zinc + Copper + Magnesium + Choline,,CAPSULE,,Bio-Labs Consumer Health,,BOX,CAPSULE,30,f,NONE,EXEMPT,60,0,PURCHASE,t,2026-05-23 05:36:47.41108+00,2026-06-01 15:19:15.907121+00,
237,VOXI500-TAB,08961101692254,Voxiquin,Levofloxacin 500mg,500mg,TABLET,,Highnoon Laboratories Ltd,,BOX,TABLET,9,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-31 09:36:23.900701+00,2026-05-31 09:36:23.900701+00,
48,WECT-TAB,,Wecten Tablets,Ivermectin,,TABLET,,Xenon Pharmaceuticals (Pvt.) Ltd.,,BOX,TABLET,10,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-22 11:59:49.966929+00,2026-05-22 11:59:49.966929+00,
93,ZEN2-TAB,08964001480587,Zentel 200mg Tablets,Albendazole,,TABLET,,GlaxoSmithKline Pakistan,,BOX,TABLET,2,f,NONE,EXEMPT,6,0,PURCHASE,t,2026-05-22 13:27:15.396507+00,2026-05-22 13:27:15.396507+00,
92,ZENS-SUS,08964001480150,Zentel Suspension 10ml,Albendazole,,SUSPENSION,,GlaxoSmithKline Pakistan,,BOX,BOTTLE,1,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-05-22 13:23:46.901314+00,2026-05-22 13:23:46.901314+00,
278,ZET440168-SCH,,Zetaprazole 40,Omeprazole + Sodium Bicarbonate 40mg/1680mg,40mg/1680mg,SACHET,,Zeta Pharmaceuticals,,BOX,TABLET,10,f,NONE,EXEMPT,10,0,PURCHASE,t,2026-05-31 10:39:03.408367+00,2026-05-31 10:40:16.348881+00,
327,ZET4-VIA,,Zetaprazole 40mg IV Injection,Omeprazole Sodium 40mg IV Injection (Lyophilized),,INJECTION_VIAL,,Zeta Pharmaceuticals,,BOX,VIAL,1,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-05-31 12:46:23.461232+00,2026-05-31 12:46:23.461232+00,
243,ZIBA250-TAB,08964002141050,Zibac,Azithromycin 250mg,250mg,TABLET,,Briell Pharamaceuticals Pvt. Ltd.,,BOX,TABLET,6,f,NONE,EXEMPT,12,0,PURCHASE,t,2026-05-31 09:41:31.362735+00,2026-05-31 09:41:31.362735+00,
202,ZINO-SOL,,Zincat-OD,Zinc Sulfate (Elemental Zinc),,ORAL_SOLUTION,,ATCO Laboratories Limited,,BOX,BOTTLE,1,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-05-31 07:59:57.790414+00,2026-05-31 07:59:57.790414+00,
218,ZYLO100-TAB,08964001577683,Zyloric,Allopurinol 100mg,100mg,TABLET,,GlaxoSmithKline Pakistan Limited,,BOX,TABLET,50,f,NONE,EXEMPT,100,0,PURCHASE,t,2026-05-31 08:43:07.556631+00,2026-05-31 08:43:07.556631+00,
219,ZYL3300-TAB,08964001577690,Zyloric-300,Allopurinol 300mg,300mg,TABLET,,GlaxoSmithKline Pakistan Limited,,BOX,TABLET,30,f,NONE,EXEMPT,60,0,PURCHASE,t,2026-05-31 08:44:51.694566+00,2026-05-31 08:44:51.694566+00,
246,ZYMO400-TAB,08964002141043,Zymox,Moxifloxacin 400mg,400mg,TABLET,,Briell Pharmaceuticals Pvt. Ltd,,BOX,TABLET,4,f,NONE,EXEMPT,10,0,PURCHASE,t,2026-05-31 09:43:57.563375+00,2026-05-31 09:43:57.563375+00,
